old_country,country,ISO_3digit
Afghanistan,Afghanistan,AFG
Åland Islands,Åland Islands,ALA
Albania,Albania,ALB
Algeria,Algeria,DZA
American Samoa,American Samoa,ASM
Andorra,Andorra,AND
Angola,Angola,AGO
Anguilla,Anguilla,AIA
Antarctica,Antarctica,ATA
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARM
Aruba,Aruba,ABW
Australia,Australia,AUS
Austria,Austria,AUT
Azerbaijan,Azerbaijan,AZE
Bahamas (the),Bahamas(the),BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
Bermuda,Bermuda,BMU
Bhutan,Bhutan,BTN
Bolivia (Plurinational State of),Bolivia,BOL
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",BES
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Bouvet Island,Bouvet Island,BVT
Brazil,Brazil,BRA
British Indian Ocean Territory (the),British Indian Ocean Territory (the),IOT
Brunei Darussalam,Brunei Darussalam,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,BDI
Cabo Verde,Cabo Verde,CPV
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Cayman Islands (the),Cayman Islands (the),CYM
Central African Republic (the),CentralAfricanRepublic(the),CAF
Chad,Chad,TCD
Chile,Chile,CHL
China,China,CHN
Christmas Island,Christmas Island,CXR
Cocos (Keeling) Islands (the),Cocos (Keeling) Islands (the),CCK
Colombia,Colombia,COL
Comoros (the),Comoros,COM
Congo (the Democratic Republic of the),"Congo,Dem.Rep.",COD
Congo (the),"Congo,Rep.",COG
Cook Islands (the),CookIslands(the),COK
Costa Rica,Costa Rica,CRI
Côte d'Ivoire,Coted'Ivoire,CIV
Croatia,Croatia,HRV
Cuba,Cuba,CUB
Curaçao,Curaçao,CUW
Cyprus,Cyprus,CYP
Czechia,CzechRepublic,CZE
Denmark,Denmark,DNK
Djibouti,Djibouti,DJI
Dominica,Dominica,DMA
Dominican Republic (the),DominicanRepublic,DOM
Ecuador,Ecuador,ECU
Egypt,"Egypt,ArabRep.",EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,EquatorialGuinea,GNQ
Eritrea,Eritrea,ERI
Estonia,Estonia,EST
Eswatini,Eswatini,SWZ
Ethiopia,Ethiopia,ETH
Falkland Islands (the) [Malvinas],FalklandIslands(the),FLK
Faroe Islands (the),Faroe Islands (the),FRO
Fiji,Fiji,FJI
Finland,Finland,FIN
France,France,FRA
French Guiana,French Guiana,GUF
French Polynesia,FrenchPolynesia,PYF
French Southern Territories (the),FrenchSouthernTerritories(the),ATF
Gabon,Gabon,GAB
Gambia (the),"Gambia,The",GMB
Georgia,Georgia,GEO
Germany,Germany,DEU
Ghana,Ghana,GHA
Gibraltar,Gibraltar,GIB
Greece,Greece,GRC
Greenland,Greenland,GRL
Grenada,Grenada,GRD
Guadeloupe,Guadeloupe,GLP
Guam,Guam,GUM
Guatemala,Guatemala,GTM
Guernsey,Guernsey,GGY
Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD
Holy See (the),Holy See (the),VAT
Honduras,Honduras,HND
Hong Kong,HongKongSAR China,HKG
Hungary,Hungary,HUN
Iceland,Iceland,ISL
India,India,IND
Indonesia,Indonesia,IDN
Iran (Islamic Republic of),Iran(Islamic Republic of),IRN
Iraq,Iraq,IRQ
Ireland,Ireland,IRL
Isle of Man,Isle of Man,IMN
Israel,Israel,ISR
Italy,Italy,ITA
Jamaica,Jamaica,JAM
Japan,Japan,JPN
Jersey,Jersey,JEY
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
Kiribati,Kiribati,KIR
Korea (the Democratic People's Republic of),Korea(the Democratic People's Republic of),PRK
Korea (the Republic of),"Korea,Rep.",KOR
Kosovo,Kosovo,XKX
Kuwait,Kuwait,KWT
Kyrgyzstan,KyrgyzRepublic,KGZ
Lao People's Democratic Republic (the),LaoPDR,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Liberia,Liberia,LBR
Libya,Libya,LBY
Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,LTU
Luxembourg,Luxembourg,LUX
Macao,"MacaoSAR,China",MAC
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Malta,Malta,MLT
Marshall Islands (the),Marshall Islands,MHL
Martinique,Martinique,MTQ
Mauritania,Mauritania,MRT
Mauritius,Mauritius,MUS
Mayotte,Mayotte,MYT
Mexico,Mexico,MEX
Micronesia (Federated States of),"Micronesia,Fed.Sts.",FSM
Moldova (the Republic of),Moldova,MDA
Monaco,Monaco,MCO
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Montserrat,Montserrat,MSR
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Myanmar,Myanmar,MMR
Namibia,Namibia,NAM
Nauru,Nauru,NRU
Nepal,Nepal,NPL
Netherlands (the),Netherlands,NLD
New Caledonia,New Caledonia,NCL
New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,NIC
Niger (the),Niger(the),NER
Nigeria,Nigeria,NGA
Niue,Niue,NIU
Norfolk Island,Norfolk Island,NFK
Northern Mariana Islands (the),Northern Mariana Islands (the),MNP
Norway,Norway,NOR
Oman,Oman,OMN
Pakistan,Pakistan,PAK
Palau,Palau,PLW
"Palestine, State of","Palestine,Stateof",PSE
Panama,Panama,PAN
Papua New Guinea,PapuaNewGuinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines (the),Philippines,PHL
Pitcairn,Pitcairn,PCN
Poland,Poland,POL
Portugal,Portugal,PRT
Puerto Rico,PuertoRico,PRI
Qatar,Qatar,QAT
Republic of North Macedonia,RepublicofNorthMacedonia,MKD
Réunion,Réunion,REU
Romania,Romania,ROU
Russian Federation (the),RussianFederation,RUS
Rwanda,Rwanda,RWA
Saint Barthélemy,Saint Barthélemy,BLM
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SHN
Saint Kitts and Nevis,St. Kitts and Nevis,KNA
Saint Lucia,St. Lucia,LCA
Saint Martin (French part),Saint Martin (French part),MAF
Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,VCT
Samoa,Samoa,WSM
San Marino,San Marino,SMR
Sao Tome and Principe,Sao Tome and Principe,STP
Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,SEN
Serbia,Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,SGP
Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM
Slovakia,Slovakia,SVK
Slovenia,Slovenia,SVN
Solomon Islands,Solomon Islands,SLB
Somalia,Somalia,SOM
South Africa,South Africa,ZAF
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,SGS
South Sudan,SouthSudan,SSD
Spain,Spain,ESP
Sri Lanka,Sri Lanka,LKA
Sudan (the),Sudan (the),SDN
Suriname,Suriname,SUR
Svalbard and Jan Mayen,Svalbard and Jan Mayen,SJM
Sweden,Sweden,SWE
Switzerland,Switzerland,CHE
Syrian Arab Republic,Syrian Arab Republic,SYR
Taiwan (Province of China),Taiwan(ProvinceofChina),TWN
Tajikistan,Tajikistan,TJK
"Tanzania, United Republic of",Tanzania,TZA
Thailand,Thailand,THA
Timor-Leste,Timor-Leste,TLS
Togo,Togo,TGO
Tokelau,Tokelau,TKL
Tonga,Tonga,TON
Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
Turkmenistan,Turkmenistan,TKM
Turks and Caicos Islands (the),TurksandCaicosIslands,TCA
Tuvalu,Tuvalu,TUV
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates (the),UnitedArabEmirates,ARE
United Kingdom of Great Britain and Northern Ireland (the),UnitedKingdom,GBR
United States Minor Outlying Islands (the),United States Minor Outlying Islands (the),UMI
United States of America (the),UnitedStates,USA
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Vanuatu,Vanuatu,VUT
Venezuela (Bolivarian Republic of),Venezuela(BolivarianRepublicof),VEN
Viet Nam,Vietnam,VNM
Virgin Islands (British),VirginIslands(British),VGB
Virgin Islands (U.S.),Virgin Islands (U.S.),VIR
Wallis and Futuna,Wallis and Futuna,WLF
Western Sahara,WesternSahara,ESH
Yemen,Yemen,YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE
